Cell,Raw reads,Clean reads,Aligned reads,Mapping rate,Gene number,Transcript number,Cluster
OA5_S0.6,226430,223234,100363,45.00%,3513,65563,RegC
OA5_S0.7,549281,545926,290154,53.10%,3775,135285,HomC
OA5_S0.8,114563,112488,15651,13.90%,739,2945,
OA5_S0.9,1098576,1097581,769825,70.10%,5089,424711,EC
OA5_S0.10,3852365,3848613,2323821,60.40%,5186,741665,FC
OA5_S0.11,407764,403390,250953,62.20%,3865,139234,EC
OA5_S0.12,1729046,1724599,1069169,62.00%,4526,406069,HomC
OA5_S0.13,1349236,1293937,582117,45.00%,4390,224422,EC
OA5_S0.14,1688400,1685220,1134092,67.30%,4280,390318,EC
OA5_S0.15,1726077,1722221,1114515,64.70%,4485,403267,EC
OA5_S0.16,1356088,1353519,890325,65.80%,3610,305533,EC
OA5_S0.17,1734246,1717683,1095586,63.80%,4185,411279,EC
OA5_S0.18,1463914,1461402,922306,63.10%,4058,314276,RegC
OA5_S0.19,2826874,2822357,1890656,67.00%,5293,534267,HomC
OA5_S0.20,361372,357523,143863,40.20%,2876,62165,RegC
OA5_S0.21,313957,312978,210091,67.10%,3605,133065,EC
OA5_S0.22,2337115,2334480,1666273,71.40%,4852,528108,HomC
OA5_S0.23,63582,62049,31962,51.50%,2247,16118,EC
OA5_S0.24,589136,588153,362498,61.60%,3344,151255,RegC
OA5_S0.25,1228008,1223205,757435,61.90%,3507,350347,HomC
OA5_S0.26,1727038,1724260,1213117,70.40%,4434,440474,EC
OA5_S0.27,2986140,2984681,1449061,48.50%,3941,299558,RegC
OA5_S0.28,423953,414345,222022,53.60%,3471,90527,EC
OA5_S0.29,1412225,1405835,877214,62.40%,3247,238027,HTC
OA5_S0.30,1614197,1598928,1104208,69.10%,4171,426397,EC
OA5_S0.31,229520,229164,132350,57.80%,2792,49598,HomC
OA5_S0.32,2097545,2095948,1296252,61.80%,3696,227692,HomC
OA5_S1.1,676132,675312,381927,56.60%,2683,155446,RegC
OA5_S1.2,50841,49968,20062,40.10%,1795,11731,RegC
OA5_S1.3,1600544,1596759,1024543,64.20%,4582,375126,HomC
OA5_S1.4,216504,215196,84743,39.40%,980,5140,
OA5_S1.5,1471950,1470702,1006031,68.40%,4391,339402,EC
OA5_S1.6,2090910,2089118,1436295,68.80%,3939,541196,EC
OA5_S1.7,112898,112375,58187,51.80%,2131,27218,HTC
OA5_S1.8,234745,233454,100731,43.10%,1697,6923,
OA5_S1.9,1076785,1075663,657588,61.10%,3453,290075,RegC
OA5_S1.10,2017257,2014728,1385586,68.80%,4373,596527,RegC
OA5_S1.11,689655,687807,421454,61.30%,3283,174922,RegC
OA5_S1.12,324028,320456,209515,65.40%,2626,111664,RegC
OA5_S1.13,829136,827577,539788,65.20%,3272,261051,ProC
OA5_S1.14,170412,169501,62291,36.70%,1900,26182,RegC
OA5_S1.15,2097519,2093924,1489774,71.10%,5502,578635,ProC
OA5_S1.16,1142337,1140732,714946,62.70%,3104,270977,RegC
OA5_S1.17,2640739,2637193,1840622,69.80%,5061,584713,RegC
OA5_S1.18,45399,44931,15071,33.50%,1273,6115,
OA5_S1.19,1967506,1965642,1362516,69.30%,5647,613543,EC
OA5_S1.20,6901642,6896470,1452154,21.10%,4838,480231,
OA5_S1.21,361517,360647,253042,70.20%,2934,126339,RegC
OA5_S1.22,1747121,1745938,1284831,73.60%,3556,378774,RegC
OA5_S1.23,1368637,1365689,896941,65.70%,3408,303592,HTC
OA5_S1.24,277578,276260,180215,65.20%,2630,79390,RegC
OA5_S1.25,1392262,1389581,687019,49.40%,3865,282278,RegC
OA5_S1.26,2119405,2118014,1601287,75.60%,4054,429608,RegC
OA5_S1.27,392724,391565,268659,68.60%,3180,110675,HomC
OA5_S1.28,1819323,1818164,1335280,73.40%,3786,328080,RegC
OA5_S1.29,5436761,5433148,3787192,69.70%,6322,1005750,EC
OA5_S1.30,3189925,3187878,2224599,69.80%,5456,555782,RegC
OA5_S1.31,347958,345333,220480,63.80%,1146,11784,RegC
OA5_S1.32,2858488,2856630,1864633,65.30%,4898,478695,HomC
OA5_S2.1,1689576,1688508,1197068,70.90%,4003,306749,RegC
OA5_S2.2,368227,363126,166544,45.90%,1236,4372,
OA5_S2.3,2478046,2476471,1448244,58.50%,4991,405887,RegC
OA5_S2.4,4139184,4134715,2772868,67.10%,5864,1051973,HomC
OA5_S2.5,520369,516889,341564,66.10%,2661,108740,HTC
OA5_S2.6,1870674,1869315,1178477,63.00%,4084,249249,RegC
OA5_S2.7,1399700,1399042,973911,69.60%,3390,257276,RegC
OA5_S2.8,628309,627173,398599,63.60%,3171,159916,RegC
OA5_S2.9,183552,183058,126829,69.30%,3165,62812,preHTC
OA5_S2.10,1287791,1284126,826913,64.40%,3707,377893,RegC
OA5_S2.11,1550617,1549871,1067866,68.90%,3278,222477,HTC
OA5_S2.12,197875,180876,78726,43.50%,2539,44128,preHTC
OA5_S2.13,1551554,1549709,1136427,73.30%,3487,459182,HomC
OA5_S2.14,328229,327468,202895,62.00%,2316,101245,preHTC
OA5_S2.15,2880413,2878757,2073893,72.00%,4727,692642,preHTC
OA5_S2.16,2024744,2022614,1268474,62.70%,4224,399090,RegC
OA5_S2.17,2758250,2750979,1659275,60.30%,5736,526219,HomC
OA5_S2.18,418177,417158,254044,60.90%,3341,128119,RegC
OA5_S2.19,971729,970846,679777,70.00%,3444,327189,RegC
OA5_S2.20,2758443,2756704,2053658,74.50%,5253,713352,RegC
OA5_S2.21,173121,172756,117375,67.90%,3165,50604,HomC
OA5_S2.22,5669709,5666541,4067936,71.80%,6251,1558462,preHTC
OA5_S2.23,1156853,1149461,730058,63.50%,4003,280955,RegC
OA5_S2.24,433925,433424,294155,67.90%,3480,118410,ProC
OA5_S2.25,1444025,1443288,1026493,71.10%,3467,396687,RegC
OA5_S2.26,498573,496529,304195,61.30%,2481,118734,HTC
OA5_S2.27,1033721,1032314,656890,63.60%,3435,240032,HomC
OA5_S2.28,2112417,2106711,1516984,72.00%,4524,602433,RegC
OA5_S2.29,169741,168747,107492,63.70%,2692,59840,preHTC
OA5_S2.30,1055847,1050885,677442,64.50%,3352,254305,HTC
OA5_S2.31,1572051,1569128,1084276,69.10%,4752,401053,preHTC
OA5_S2.32,2586794,2584033,1629734,63.10%,4754,658924,preHTC
OA5_S3.1,2308405,2306972,1431650,62.10%,5981,553272,EC
OA5_S3.2,169899,169080,57739,34.10%,1132,3413,
OA5_S3.3,1193197,1190126,706615,59.40%,4523,238460,EC
OA5_S3.4,1743372,1742118,1230915,70.70%,5103,428970,preHTC
OA5_S3.5,458449,456433,232543,50.90%,3915,101725,preHTC
OA5_S3.6,326130,323464,154924,47.90%,3464,81928,RegC
OA5_S3.7,725921,723919,443748,61.30%,3999,164990,EC
OA5_S3.8,123391,121333,15499,12.80%,890,2575,
OA5_S3.9,678281,677815,453341,66.90%,3869,256309,RegC
OA5_S3.10,1252256,1251156,845247,67.60%,4186,296170,EC
OA5_S3.11,543193,541378,352041,65.00%,3833,168587,EC
OA5_S3.12,918149,917141,643421,70.20%,3473,182558,EC
OA5_S3.13,1348774,1334002,751996,56.40%,4112,184736,HomC
OA5_S3.14,993113,992461,670916,67.60%,3173,154908,RegC
OA5_S3.15,1842348,1841405,1163817,63.20%,4046,224288,HomC
OA5_S3.16,993453,992589,633843,63.90%,2968,170204,HomC
OA5_S3.17,1585689,1582052,1000128,63.20%,3672,323222,preHTC
OA5_S3.18,1005314,1004234,646249,64.40%,3700,189780,EC
OA5_S3.19,173108,170561,68713,40.30%,1185,3392,
OA5_S3.20,731935,729877,449478,61.60%,4628,176242,EC
OA5_S3.21,460010,458941,299685,65.30%,3793,145834,EC
OA5_S3.22,1551194,1550367,1038383,67.00%,4316,267001,preHTC
OA5_S3.23,178658,174169,16765,9.60%,1889,8235,
OA5_S3.24,4404,4401,2121,48.20%,317,657,
OA5_S3.25,1115852,1114178,774715,69.50%,4012,335344,EC
OA5_S3.26,1917139,1915925,1379734,72.00%,4824,437827,EC
OA5_S3.27,1249537,1248620,876556,70.20%,4263,241251,EC
OA5_S3.28,133624,130061,34877,26.80%,1015,3002,
OA5_S3.29,1458341,1456434,967719,66.40%,3969,196729,EC
OA5_S3.30,2328818,2324463,1568924,67.50%,4952,468047,EC
OA5_S3.31,376110,375721,249663,66.40%,3567,97857,EC
OA5_S3.32,2243009,2242017,1288383,57.50%,5242,301922,EC
OA5_S4.1,1209408,1208757,896124,74.10%,4104,326667,HTC
OA5_S4.2,78397,77496,40161,51.80%,2943,26665,ProC
OA5_S4.3,1520320,1518642,1025117,67.50%,4579,363540,preHTC
OA5_S4.4,955730,954752,630781,66.10%,4059,239188,HomC
OA5_S4.5,947262,946447,392911,41.50%,3020,71953,HomC
OA5_S4.6,746228,745526,534439,71.70%,3620,200092,HTC
OA5_S4.7,376023,375595,247236,65.80%,4212,116290,preHTC
OA5_S4.8,1895290,1894326,1042087,55.00%,3994,239219,FC
OA5_S4.9,1220891,1220351,884667,72.50%,4255,404957,preHTC
OA5_S4.10,1951807,1950759,1410419,72.30%,5142,609242,preHTC
OA5_S4.11,1850833,1849643,1160661,62.80%,5741,383365,FC
OA5_S4.12,737461,735641,481350,65.40%,4156,222434,preHTC
OA5_S4.13,1254452,1253838,904386,72.10%,4237,282565,HomC
OA5_S4.14,279607,279066,143744,51.50%,2536,49259,FC
OA5_S4.15,3050588,3049237,2176672,71.40%,5346,517366,HTC
OA5_S4.16,2859783,2858801,2058890,72.00%,4817,600664,preHTC
OA5_S4.17,3254604,3250224,1817234,55.90%,6680,533301,EC
OA5_S4.18,2355081,2352971,1535859,65.30%,4886,577903,preHTC
OA5_S4.19,2352587,2350710,1397898,59.50%,4987,376168,FC
OA5_S4.20,1741199,1738762,958333,55.10%,4198,246132,FC
OA5_S4.21,658193,656453,401990,61.20%,4051,178041,ProC
OA5_S4.22,2715429,2713211,1820773,67.10%,5772,557816,preHTC
OA5_S4.23,2140373,2137613,1486510,69.50%,5598,573196,HomC
OA5_S4.24,668190,666102,350932,52.70%,3743,126952,FC
OA5_S4.25,1384536,1383600,885985,64.00%,3918,190793,FC
OA5_S4.26,2431691,2429313,1496311,61.60%,5674,450787,FC
OA5_S4.27,739923,738091,479486,65.00%,4376,173099,preHTC
OA5_S4.28,2823871,2821755,1956088,69.30%,5725,475774,preHTC
OA5_S4.29,2856077,2852626,1815434,63.60%,5932,445461,FC
OA5_S4.30,1950245,1948490,1361140,69.90%,5118,350516,preHTC
OA5_S4.31,2474512,2472175,1730018,70.00%,5869,412177,ProC
OA5_S4.32,1952375,1950901,1156060,59.30%,4804,286124,HomC
OA6_S0.1,1429255,1426389,779034,54.60%,4222,287821,RegC
OA6_S0.2,1777088,1773787,1039861,58.60%,4432,332262,FC
OA6_S0.3,1297311,1289012,743627,57.70%,4590,330615,EC
OA6_S0.4,1050106,1046682,716168,68.40%,4442,331088,EC
OA6_S0.5,452032,447087,194116,43.40%,3487,101187,RegC
OA6_S0.6,368592,363071,161868,44.60%,4102,101135,EC
OA6_S0.7,305827,301935,96477,32.00%,1854,19413,RegC
OA6_S0.8,189273,185843,20529,11.00%,1410,3787,
OA6_S0.9,895540,894094,579939,64.90%,4269,308730,EC
OA6_S0.10,2702011,2698589,1690971,62.70%,5365,653570,EC
OA6_S0.11,499980,495537,318025,64.20%,3755,163740,EC
OA6_S0.12,1717874,1714326,1169899,68.20%,5426,361702,EC
OA6_S0.13,907086,870987,401902,46.10%,3645,134837,HTC
OA6_S0.14,2351793,2348755,1534390,65.30%,5511,331634,EC
OA6_S0.15,1811031,1807766,1260721,69.70%,4840,305246,EC
OA6_S0.16,2163785,2160645,1422122,65.80%,4529,372927,preHTC
OA6_S0.17,2174368,2161105,1419588,65.70%,5753,421961,EC
OA6_S0.18,1556311,1552375,896316,57.70%,4708,190876,RegC
OA6_S0.19,1815782,1813522,1321315,72.90%,4888,337811,EC
OA6_S0.20,672571,667768,372560,55.80%,4103,114079,RegC
OA6_S0.21,468054,465906,295240,63.40%,3700,153356,EC
OA6_S0.22,2173449,2169122,1329837,61.30%,5342,341527,EC
OA6_S0.23,87418,84272,25193,29.90%,2523,13267,
OA6_S0.24,628408,627033,414234,66.10%,3738,156706,HomC
OA6_S0.25,2509913,2505126,1392096,55.60%,5822,377120,RegC
OA6_S0.26,1172230,1170251,750107,64.10%,3782,213315,HomC
OA6_S0.27,1117945,1115769,752273,67.40%,3912,156391,RegC
OA6_S0.28,749249,742894,429433,57.80%,3441,102412,RegC
OA6_S0.29,3725809,3719864,2606237,70.10%,6846,549458,EC
OA6_S0.30,2923715,2913246,2042335,70.10%,5697,711015,EC
OA6_S0.31,617606,616378,394633,64.00%,5004,203240,EC
OA6_S0.32,5426097,5420381,3989193,73.60%,8059,1120379,EC
OA6_S1.1,1012495,1010947,680004,67.30%,4649,303176,EC
OA6_S1.2,89580,88188,47571,53.90%,2941,30272,ProC
OA6_S1.3,696295,693600,444624,64.10%,3104,124417,RegC
OA6_S1.4,965288,963064,647029,67.20%,4051,210115,EC
OA6_S1.5,1584672,1582485,1079389,68.20%,4558,286585,HomC
OA6_S1.6,790198,788667,560527,71.10%,3275,180184,RegC
OA6_S1.7,287481,286808,164771,57.40%,3043,77361,HTC
OA6_S1.8,641885,639868,405828,63.40%,3000,134933,RegC
OA6_S1.9,950890,949074,678272,71.50%,3704,267085,EC
OA6_S1.10,1295854,1293038,843578,65.20%,3648,303013,HTC
OA6_S1.11,835086,832602,552043,66.30%,3434,159268,HTC
OA6_S1.12,670724,665691,460803,69.20%,3351,197230,EC
OA6_S1.13,1331854,1329568,901269,67.80%,4455,251183,EC
OA6_S1.14,590135,588442,401776,68.30%,4468,147050,EC
OA6_S1.15,1718629,1715581,1238487,72.20%,4888,291230,EC
OA6_S1.16,1838572,1836019,1335925,72.80%,4525,400480,EC
OA6_S1.17,1762005,1760812,1327870,75.40%,3309,249327,EC
OA6_S1.18,58382,58348,44303,75.90%,908,8598,
OA6_S1.19,1509731,1508298,1096165,72.70%,4145,417143,EC
OA6_S1.20,2531643,2529423,1881374,74.40%,4613,600627,EC
OA6_S1.21,509356,508324,348344,68.50%,3297,147410,ProC
OA6_S1.22,1832351,1831262,1350192,73.70%,4164,349326,ProC
OA6_S1.23,1209501,1207019,869494,72.00%,3850,366737,HomC
OA6_S1.24,227997,227076,160077,70.50%,2795,71593,EC
OA6_S1.25,988781,986622,661706,67.10%,3403,267774,HomC
OA6_S1.26,2411150,2409551,1844295,76.50%,4888,532210,EC
OA6_S1.27,752941,751667,537352,71.50%,3794,186748,EC
OA6_S1.28,2781520,2779892,2120695,76.30%,4861,488228,EC
OA6_S1.29,1894237,1892099,1336128,70.60%,3621,275474,HomC
OA6_S1.30,1781377,1779819,1333292,74.90%,4323,379902,EC
OA6_S1.31,4219323,4214691,3229007,76.60%,6299,681154,HomC
OA6_S1.32,2420500,2418948,1761583,72.80%,4480,408784,EC
OA6_S2.1,3036285,3034404,2119429,69.80%,5068,466327,ProC
OA6_S2.2,2652139,2648206,1844488,69.70%,5155,632826,EC
OA6_S2.3,2243463,2241821,1685711,75.20%,4421,487160,ProC
OA6_S2.4,2049212,2047128,1509183,73.70%,4291,582834,EC
OA6_S2.5,1461639,1456073,1013138,69.60%,3999,495721,EC
OA6_S2.6,2524200,2522320,1841026,73.00%,4327,389837,ProC
OA6_S2.7,2209806,2208624,1603195,72.60%,3923,466389,EC
OA6_S2.8,1092139,1090511,754571,69.20%,3588,367336,ProC
OA6_S2.9,281627,281003,176792,62.90%,3462,65861,ProC
OA6_S2.10,1819939,1818197,1369475,75.30%,3755,398187,ProC
OA6_S2.11,2122375,2120557,1458560,68.80%,4351,415819,ProC
OA6_S2.12,491739,473019,254939,53.90%,3365,101394,EC
OA6_S2.13,9510,9496,6292,66.30%,771,2518,
OA6_S2.14,93016,92637,45597,49.20%,766,5327,
OA6_S2.15,4997316,4994581,3459958,69.30%,5706,1052379,ProC
OA6_S2.16,5436793,5433900,3775274,69.50%,5552,1448979,preHTC
OA6_S2.17,1733557,1732704,1310326,75.60%,3903,247386,preHTC
OA6_S2.18,2478061,2476432,1703407,68.80%,6940,854111,preHTC
OA6_S2.19,152883,152557,90126,59.10%,923,3887,
OA6_S2.20,2526939,2525590,1771152,70.10%,4426,602898,ProC
OA6_S2.21,1226682,1226085,922915,75.30%,3176,178778,EC
OA6_S2.22,1082730,1081999,734576,67.90%,3127,309886,preHTC
OA6_S2.23,1529625,1527251,1083131,70.90%,4503,292186,EC
OA6_S2.24,618356,617835,423431,68.50%,3406,165990,preHTC
OA6_S2.25,1910417,1909416,1427023,74.70%,3715,555175,ProC
OA6_S2.26,692660,690008,478219,69.30%,3060,198043,ProC
OA6_S2.27,1844402,1843033,1304920,70.80%,4040,492375,ProC
OA6_S2.28,1676179,1673982,1163661,69.50%,3727,471448,EC
OA6_S2.29,459737,458691,306266,66.80%,3513,126983,EC
OA6_S2.30,2232039,2229079,1611628,72.30%,4305,646393,ProC
OA6_S2.31,1258786,1257635,895263,71.20%,4166,295335,ProC
OA6_S2.32,2177233,2175840,1647268,75.70%,4738,803897,ProC
OA6_S3.1,2302764,2300420,1427024,62.00%,5599,489646,preHTC
OA6_S3.2,2431766,2429298,1667247,68.60%,5425,592249,ProC
OA6_S3.3,1414569,1408171,706503,50.20%,4718,257236,preHTC
OA6_S3.4,1511307,1508616,969605,64.30%,4680,428151,preHTC
OA6_S3.5,586006,583213,293659,50.40%,4443,134886,preHTC
OA6_S3.6,502602,497770,209867,42.20%,4102,124059,preHTC
OA6_S3.7,1011969,1009506,656448,65.00%,4291,225713,preHTC
OA6_S3.8,408944,406356,172370,42.40%,3414,83287,ProC
OA6_S3.9,869865,868766,524165,60.30%,3704,313155,preHTC
OA6_S3.10,3416064,3413297,2502405,73.30%,6544,753991,preHTC
OA6_S3.11,456393,454093,270006,59.50%,3300,138712,preHTC
OA6_S3.12,1225043,1223227,618485,50.60%,4060,142743,preHTC
OA6_S3.13,1258036,1247127,737655,59.10%,4465,189609,HomC
OA6_S3.14,1795624,1793564,1223849,68.20%,4901,338507,preHTC
OA6_S3.15,1376587,1375082,943422,68.60%,4308,242635,ProC
OA6_S3.16,1966555,1964526,1391790,70.80%,4698,360485,preHTC
OA6_S3.17,3603802,3598160,2469936,68.60%,6633,669647,ProC
OA6_S3.18,2002788,2000778,1339266,66.90%,5305,361581,preHTC
OA6_S3.19,3060982,3056436,2170779,71.00%,5734,655178,preHTC
OA6_S3.20,1015116,1012460,583324,57.60%,4267,217180,preHTC
OA6_S3.21,626128,624545,392195,62.80%,3956,209718,ProC
OA6_S3.22,2393956,2391844,1694934,70.90%,5090,447907,preHTC
OA6_S3.23,156339,151890,23440,15.40%,2274,13806,
OA6_S3.24,1426844,1425484,1033992,72.50%,4781,296900,ProC
OA6_S3.25,1185895,1183110,763863,64.60%,4373,343383,ProC
OA6_S3.26,1839767,1838022,1259250,68.50%,4975,375011,ProC
OA6_S3.27,2106895,2105096,1512987,71.90%,5343,414706,preHTC
OA6_S3.28,770078,767047,386903,50.40%,3361,94607,preHTC
OA6_S3.29,1540003,1538040,1115326,72.50%,4768,247587,preHTC
OA6_S3.30,2425931,2420552,1697321,70.10%,5265,537150,ProC
OA6_S3.31,349761,349161,211284,60.50%,2977,88809,preHTC
OA6_S3.32,5349559,5345772,3866939,72.30%,6924,940995,preHTC
OA6_S4.1,4928943,4925443,3596843,73.00%,7358,1417991,preHTC
OA6_S4.2,170317,168375,85555,50.80%,3080,50063,preHTC
OA6_S4.3,3127936,3124383,2201011,70.40%,5947,662019,preHTC
OA6_S4.4,2084686,2082788,1475468,70.80%,4693,520460,preHTC
OA6_S4.5,2238348,2236485,1526889,68.30%,4290,494040,preHTC
OA6_S4.6,1384259,1383283,1002162,72.40%,3605,304609,preHTC
OA6_S4.7,642067,641287,450224,70.20%,3817,195782,preHTC
OA6_S4.8,2035407,2033752,1555727,76.50%,5299,504922,preHTC
OA6_S4.9,1602130,1600565,1162463,72.60%,4386,535275,preHTC
OA6_S4.10,2510476,2507899,1866686,74.40%,5174,805410,preHTC
OA6_S4.11,1756795,1754345,1206076,68.70%,4154,373779,preHTC
OA6_S4.12,1451652,1449117,1102977,76.10%,4378,458854,preHTC
OA6_S4.13,5548440,5545068,4025453,72.60%,6422,1184599,preHTC
OA6_S4.14,703322,702201,483896,68.90%,3816,190763,preHTC
OA6_S4.15,2926746,2924419,2171049,74.20%,5267,537767,preHTC
OA6_S4.16,2720465,2718497,1979387,72.80%,5294,668275,preHTC
OA6_S4.17,3703424,3700764,2695985,72.80%,5537,681514,preHTC
OA6_S4.18,1340826,1339369,860547,64.30%,3451,236241,HomC
OA6_S4.19,3184129,3181549,2290641,72.00%,5395,848691,preHTC
OA6_S4.20,3102794,3099477,1299915,41.90%,6636,350599,ProC
OA6_S4.21,1301865,1299838,947147,72.90%,4649,463198,preHTC
OA6_S4.22,3597328,3594804,2319711,64.50%,5295,692279,preHTC
OA6_S4.23,2748742,2745091,1947493,70.90%,5292,870845,ProC
OA6_S4.24,683863,681863,478104,70.10%,4525,237513,preHTC
OA6_S4.25,3672391,3668148,2787961,76.00%,7017,1103569,preHTC
OA6_S4.26,2273726,2271645,1764991,77.70%,4978,622419,preHTC
OA6_S4.27,4556800,4552771,3273136,71.90%,7589,1126559,preHTC
OA6_S4.28,3078613,3076617,2284127,74.20%,4477,559893,preHTC
OA6_S4.29,3335773,3332599,2480330,74.40%,5596,698782,preHTC
OA6_S4.30,3057301,3055007,2136357,69.90%,5268,631921,ProC
OA6_S4.31,3963757,3960589,3032773,76.60%,5434,871213,preHTC
OA6_S4.32,2128400,2126850,1633849,76.80%,5082,544384,preHTC
OA7_S0.1,1499601,1496801,910146,60.80%,4328,282333,EC
OA7_S0.2,774754,772571,441138,57.10%,3092,110995,RegC
OA7_S0.3,694082,685030,279784,40.80%,3342,85200,RegC
